/usr/bin/python2.7 /home/jwj/workspace/python/mxnet_dec/dec.py
/home/jwj/source_code/mxnet/incubator-mxnet/example/autoencoder/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
INFO:root:Pre-training layer 0...
INFO:root:Iter:0 metric:2.518451
INFO:root:Iter:1000 metric:0.361508
INFO:root:Iter:2000 metric:0.234736
INFO:root:Iter:3000 metric:0.218338
INFO:root:Iter:4000 metric:0.209569
INFO:root:Iter:5000 metric:0.203518
INFO:root:Iter:6000 metric:0.198143
INFO:root:Iter:7000 metric:0.193998
INFO:root:Iter:8000 metric:0.190524
INFO:root:Iter:9000 metric:0.187648
INFO:root:Iter:10000 metric:0.185368
INFO:root:Iter:11000 metric:0.182976
INFO:root:Iter:12000 metric:0.181003
INFO:root:Iter:13000 metric:0.179660
INFO:root:Iter:14000 metric:0.178205
INFO:root:Iter:15000 metric:0.176786
INFO:root:Iter:16000 metric:0.175748
INFO:root:Iter:17000 metric:0.174623
INFO:root:Iter:18000 metric:0.173433
INFO:root:Iter:19000 metric:0.172565
INFO:root:At Iteration [20000]: Swith to new learning rate 0.01000
INFO:root:Iter:20000 metric:0.171464
INFO:root:Iter:21000 metric:0.170164
INFO:root:Iter:22000 metric:0.170006
INFO:root:Iter:23000 metric:0.169934
INFO:root:Iter:24000 metric:0.169886
INFO:root:Iter:25000 metric:0.169743
INFO:root:Iter:26000 metric:0.169766
INFO:root:Iter:27000 metric:0.169551
INFO:root:Iter:28000 metric:0.169590
INFO:root:Iter:29000 metric:0.169593
INFO:root:Iter:30000 metric:0.169250
INFO:root:Iter:31000 metric:0.169243
INFO:root:Iter:32000 metric:0.169157
INFO:root:Iter:33000 metric:0.169077
INFO:root:Iter:34000 metric:0.169039
INFO:root:Iter:35000 metric:0.168853
INFO:root:Iter:36000 metric:0.168568
INFO:root:Iter:37000 metric:0.168747
INFO:root:Iter:38000 metric:0.168583
INFO:root:Iter:39000 metric:0.168491
INFO:root:At Iteration [40000]: Swith to new learning rate 0.00100
INFO:root:Iter:40000 metric:0.168481
INFO:root:Iter:41000 metric:0.168216
INFO:root:Iter:42000 metric:0.168184
INFO:root:Iter:43000 metric:0.168127
INFO:root:Iter:44000 metric:0.168157
INFO:root:Iter:45000 metric:0.168341
INFO:root:Iter:46000 metric:0.168135
INFO:root:Iter:47000 metric:0.168113
INFO:root:Iter:48000 metric:0.168156
INFO:root:Iter:49000 metric:0.168169
INFO:root:Pre-training layer 1...
INFO:root:Iter:0 metric:0.168540
INFO:root:Iter:1000 metric:0.481723
INFO:root:Iter:2000 metric:0.398788
INFO:root:Iter:3000 metric:0.359385
INFO:root:Iter:4000 metric:0.331093
INFO:root:Iter:5000 metric:0.307055
INFO:root:Iter:6000 metric:0.286197
INFO:root:Iter:7000 metric:0.267940
INFO:root:Iter:8000 metric:0.251974
INFO:root:Iter:9000 metric:0.238261
INFO:root:Iter:10000 metric:0.226615
INFO:root:Iter:11000 metric:0.216474
INFO:root:Iter:12000 metric:0.207701
INFO:root:Iter:13000 metric:0.199931
INFO:root:Iter:14000 metric:0.193050
INFO:root:Iter:15000 metric:0.186866
INFO:root:Iter:16000 metric:0.181477
INFO:root:Iter:17000 metric:0.176634
INFO:root:Iter:18000 metric:0.172158
INFO:root:Iter:19000 metric:0.168169
INFO:root:Iter:20000 metric:0.164511
INFO:root:Iter:21000 metric:0.161163
INFO:root:Iter:22000 metric:0.158153
INFO:root:Iter:23000 metric:0.155347
INFO:root:Iter:24000 metric:0.152797
INFO:root:Iter:25000 metric:0.150420
INFO:root:Iter:26000 metric:0.148214
INFO:root:Iter:27000 metric:0.146176
INFO:root:Iter:28000 metric:0.144368
INFO:root:Iter:29000 metric:0.142479
