/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/dec.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
/home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/aelib/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
INFO:root:Pre-training layer 0...
INFO:root:Iter:0 metric:2.549264
INFO:root:Iter:1000 metric:0.371688
INFO:root:Iter:2000 metric:0.245361
INFO:root:Iter:3000 metric:0.227373
INFO:root:Iter:4000 metric:0.218574
INFO:root:Iter:5000 metric:0.212488
INFO:root:Iter:6000 metric:0.207645
INFO:root:Iter:7000 metric:0.203735
INFO:root:Iter:8000 metric:0.199907
INFO:root:Iter:9000 metric:0.196539
INFO:root:Iter:10000 metric:0.193632
INFO:root:Iter:11000 metric:0.191634
INFO:root:Iter:12000 metric:0.189332
INFO:root:Iter:13000 metric:0.187456
INFO:root:Iter:14000 metric:0.186020
INFO:root:Iter:15000 metric:0.184802
INFO:root:Iter:16000 metric:0.184117
INFO:root:Iter:17000 metric:0.182884
INFO:root:Iter:18000 metric:0.181972
INFO:root:Iter:19000 metric:0.180871
INFO:root:At Iteration [20000]: Swith to new learning rate 0.01000
INFO:root:Iter:20000 metric:0.179859
INFO:root:Iter:21000 metric:0.178676
INFO:root:Iter:22000 metric:0.178272
INFO:root:Iter:23000 metric:0.178295
INFO:root:Iter:24000 metric:0.177986
INFO:root:Iter:25000 metric:0.177991
INFO:root:Iter:26000 metric:0.178039
INFO:root:Iter:27000 metric:0.177805
INFO:root:Iter:28000 metric:0.177736
INFO:root:Iter:29000 metric:0.177725
INFO:root:Iter:30000 metric:0.177460
INFO:root:Iter:31000 metric:0.177395
INFO:root:Iter:32000 metric:0.177303
INFO:root:Iter:33000 metric:0.177296
INFO:root:Iter:34000 metric:0.177084
INFO:root:Iter:35000 metric:0.176955
INFO:root:Iter:36000 metric:0.176971
INFO:root:Iter:37000 metric:0.176907
INFO:root:Iter:38000 metric:0.176802
INFO:root:Iter:39000 metric:0.176542
INFO:root:At Iteration [40000]: Swith to new learning rate 0.00100
INFO:root:Iter:40000 metric:0.176447
INFO:root:Iter:41000 metric:0.176492
INFO:root:Iter:42000 metric:0.176305
INFO:root:Iter:43000 metric:0.176338
INFO:root:Iter:44000 metric:0.176340
INFO:root:Iter:45000 metric:0.176336
INFO:root:Iter:46000 metric:0.176229
INFO:root:Iter:47000 metric:0.176306
INFO:root:Iter:48000 metric:0.176320
INFO:root:Iter:49000 metric:0.176310
INFO:root:Pre-training layer 1...
INFO:root:Iter:0 metric:0.176542
INFO:root:Iter:1000 metric:0.477127
INFO:root:Iter:2000 metric:0.390427
